"","sat","tothrs","colgpa","athlete","verbmath","hsize","hsrank","hsperc","female","white","black"
"1",920,2.48780302125851,2.03999996185303,"TRUE",0.483869999647141,-1.50251919173634,1.37571342665409,3.93288248237207,"TRUE","FALSE","FALSE"
"2",1170,2.0916031271045,4,"FALSE",0.828130006790161,3.63323225524288,5.10252874702602,3.17290889682366,"FALSE","TRUE","FALSE"
"3",810,1.96119011776628,1.77999997138977,"TRUE",0.883719980716705,0.180171987147332,3.66141515657458,3.79110917430618,"FALSE","TRUE","FALSE"
"4",940,2.45792681062047,2.42000007629395,"FALSE",0.807690024375916,2.52242759855894,5.36363170564445,4.04469079672748,"FALSE","TRUE","FALSE"
"5",1180,2.0916031271045,2.60999989509583,"FALSE",0.735289990901947,0.889800679488917,4.34633033459139,3.93817498289938,"FALSE","TRUE","FALSE"
"6",980,2.84430030377852,3.02999997138977,"FALSE",0.81480997800827,1.20941967249857,3.63829104635451,2.85968646634467,"TRUE","TRUE","FALSE"
"7",880,2.71525541085912,1.8400000333786,"FALSE",0.759999990463257,1.43722175164314,4.94115676571892,4.22694011544532,"FALSE","FALSE","FALSE"
"8",980,2.58572448360003,3.04999995231628,"FALSE",0.884620010852814,1.20941967249857,4.49923358844109,3.8653244773151,"FALSE","TRUE","FALSE"
"9",1240,2.0916031271045,3,"FALSE",0.698629975318909,1.70720746758853,4.94115676571892,4.03786059867959,"FALSE","TRUE","FALSE"
"10",1230,2.06262190276303,2,"FALSE",0.863640010356903,-1.50251919173634,1.09196014081737,3.60793027516655,"FALSE","TRUE","FALSE"
"11",1140,2.71525541085912,2.98000001907349,"FALSE",0.932200014591217,1.55136871476515,4.44101996215854,3.54808675683362,"TRUE","TRUE","FALSE"
"12",1150,2.48780302125851,2.9300000667572,"FALSE",0.854839980602264,1.67022481159411,2.52888409494344,1.31567105291907,"TRUE","TRUE","FALSE"
"13",1080,2.06262190276303,2,"TRUE",0.800000011920929,1.4724818931039,3.3695488943332,2.36856552220796,"FALSE","TRUE","FALSE"
"14",990,2.64323278202431,2.21000003814697,"FALSE",0.677969992160797,0.745724574854245,3.84750321503832,3.47143105640503,"TRUE","TRUE","FALSE"
"15",1000,2.50632306564416,3.32999992370605,"FALSE",0.785709977149963,1.71637757547528,3.30532097361904,2.136454519179,"TRUE","TRUE","FALSE"
"16",1050,1.96119011776628,1.07000005245209,"FALSE",0.779659986495972,1.19830832103888,4.76745454199604,4.19572604463628,"TRUE","TRUE","FALSE"
"17",1160,2.46818521895741,2.28999996185303,"FALSE",0.870970010757446,0.400710712842717,4.48022678394646,4.54542850398232,"TRUE","TRUE","FALSE"
"18",1190,1.92122506454714,3.15000009536743,"FALSE",1.125,0.634612995851703,4.20315832050768,3.98954284352558,"FALSE","TRUE","FALSE"
"19",1030,2.83264382953735,2.65000009536743,"FALSE",1.10204005241394,1.79314963146189,4.28929464935967,3.20865963983194,"TRUE","TRUE","FALSE"
"20",960,2.82045071274568,2.41000008583069,"TRUE",1,1.77975083363399,4.09400121121757,2.99068608272639,"FALSE","TRUE","FALSE"
"21",840,2.81413863654719,2.39000010490417,"FALSE",0.647059977054596,0.0685860142695178,1.92510528907488,1.9401902165003,"FALSE","TRUE","FALSE"
"22",920,2.84713550760702,2.64000010490417,"FALSE",1,0.908748475008113,4.07942430112482,3.60620243196233,"TRUE","TRUE","FALSE"
"23",840,2.78730045922422,2.1800000667572,"FALSE",0.86667001247406,1.01326658905331,4.81567423223787,4.4012747196604,"TRUE","TRUE","FALSE"
"24",1000,2.54848342480179,2.83999991416931,"FALSE",0.785709977149963,2.11769964377357,4.76035882329185,3.55918019808256,"FALSE","TRUE","FALSE"
"25",1150,2.80105170001726,2.83999991416931,"FALSE",0.796880006790161,2.60598658709893,5.53060085535128,4.20053808258225,"TRUE","TRUE","FALSE"
"26",1040,2.83853645749078,2.9300000667572,"FALSE",0.962260007858276,-0.0925474037637911,3.33797619020376,3.71410548862634,"FALSE","TRUE","FALSE"
